falha_tipo_falha,min_humidity,max_humidity,avg_humidity,min_temp_motor1,max_temp_motor1,avg_temp_motor1,min_temp_motor2,max_temp_motor2,avg_temp_motor2,min_temp_motor3,max_temp_motor3,avg_temp_motor3,min_vibrationhz_x,max_vibrationhz_x,avg_vibrationhz_x,min_vibrationhz_y,max_vibrationhz_y,avg_vibrationhz_y,min_vibrationhz_z,max_vibrationhz_z,avg_vibrationhz_z,min_noise_dba_motor1,max_noise_dba_motor1,avg_noise_dba_motor1,min_noise_dba_motor2,max_noise_dba_motor2,avg_noise_dba_motor2,min_noise_dba_motor3,max_noise_dba_motor3,avg_noise_dba_motor3
0,22,81,41.8,7,26,16.2,21,32,26.8,8,29,18.4,10,19,14.0,11,16,14.4,14,21,18.0,23,39,31.6,20,63,43.2,23,46,38.4
0,18,84,56.58,7,28,15.75,6,32,15.0,6,33,22.75,10,21,14.67,10,18,15.08,13,19,15.17,19,57,39.67,19,63,41.42,16,48,32.58
0,16,84,51.67,9,28,17.33,6,29,18.92,7,33,20.25,10,21,16.08,10,18,14.83,11,20,14.67,16,55,31.25,15,62,41.42,22,64,49.0
0,15,82,42.92,5,28,20.25,8,31,22.67,5,29,15.75,10,20,15.92,10,21,18.08,12,21,17.25,18,64,45.17,21,52,39.42,21,64,45.17
0,15,82,45.83,5,29,17.0,7,32,21.67,7,26,15.75,10,21,15.42,12,21,16.17,11,19,15.75,27,62,46.42,16,64,43.5,16,64,41.25
0,15,84,43.17,5,26,15.75,8,32,18.42,6,32,21.33,10,21,14.17,11,19,14.58,11,20,14.58,15,57,40.5,16,64,41.83,15,64,40.08
0,24,82,61.92,6,29,19.25,9,31,21.67,7,29,17.67,10,20,13.83,12,21,15.67,10,21,16.58,19,63,42.25,18,57,38.0,16,57,39.67
0,33,84,63.83,5,24,14.08,5,29,14.42,5,33,17.5,10,20,15.0,10,21,15.75,10,21,16.25,20,62,44.5,16,55,33.67,19,63,44.42
0,23,79,51.58,8,28,18.33,6,27,16.92,5,34,13.17,10,18,14.58,11,21,16.08,10,21,15.5,15,60,42.5,19,45,28.67,17,64,42.75
0,29,78,56.42,5,29,16.5,7,31,17.67,7,32,20.08,11,21,15.42,10,20,14.0,10,21,14.33,20,57,38.58,19,61,42.33,19,59,41.0
0,26,82,49.42,5,29,16.92,7,31,20.42,5,31,16.42,12,21,16.25,11,21,15.17,10,21,15.5,16,59,36.25,21,51,38.25,26,63,46.75
0,19,83,60.25,6,24,14.67,9,29,17.42,5,34,15.83,11,20,15.42,11,20,15.08,10,21,15.67,19,63,44.58,31,60,44.17,17,64,44.5
0,16,80,49.25,11,29,18.08,6,31,19.08,5,32,17.42,10,21,15.67,11,21,17.83,10,21,15.58,17,57,38.17,15,61,37.5,16,64,39.17
0,21,83,56.25,6,26,19.25,5,29,16.17,9,31,19.92,11,21,15.25,11,21,15.17,11,20,16.0,16,62,43.0,19,63,41.58,17,61,34.42
0,21,81,53.83,5,24,15.75,6,30,15.33,5,33,13.83,12,21,15.75,10,21,15.75,10,21,14.92,16,63,42.67,20,62,38.75,18,62,42.42
0,15,82,45.75,7,27,19.33,5,31,17.0,6,31,17.58,10,19,13.83,10,20,14.25,10,19,14.08,17,64,44.17,15,53,32.08,15,64,38.67
0,16,73,40.25,5,27,14.75,5,32,15.83,5,34,20.83,14,21,17.92,10,20,16.5,10,21,15.75,23,61,44.75,22,60,42.83,16,57,40.25
0,17,79,47.42,5,29,18.33,9,26,19.5,9,34,21.17,10,21,14.5,11,21,15.08,10,21,15.08,18,61,42.83,20,61,36.25,20,64,41.75
0,29,75,62.25,8,29,19.17,11,30,18.58,6,27,17.25,10,20,14.58,10,21,15.17,11,20,15.5,18,60,36.75,17,62,45.75,16,62,36.17
0,15,79,48.08,6,28,16.17,9,32,21.17,5,33,17.5,10,19,15.0,12,21,17.17,11,21,15.92,22,62,43.42,27,64,43.75,18,62,35.67
0,22,80,47.5,6,29,19.67,5,32,16.67,8,34,16.58,10,19,14.25,11,18,13.42,10,21,16.25,15,53,34.83,16,61,40.42,15,60,39.17
